fares,(n.) 票价
cost,(n.) 成本，费用
increase / rise,(n./v.) 增长，上涨
burden,(n.) 负担
inflation,(n.) 通货膨胀
Consumer Price Index (CPI),消费者价格指数
subsidise,(v.) 补贴，资助
taxpayer,(n.) 纳税人
investing / investment,(n.) 投资
stockbroker,(n.) 股票经纪人
compensation,(n.) 补偿，赔偿
revenue,(n.) （公司的）收入，营收
losses,(n.) 亏损，损失
operators,(n.) 运营商
operations,(n.) 运营，经营
ownership,(n.) 所有权
nationalisation,(n.) 国有化
sustainable,(adj.) 可持续的
justify,(v.) 证明…是正当的；为…辩护
grimly,(adv.) 令人沮??地，严肃地
unreasonable,(adj.) 不合理的，过分的
incompetently,(adv.) 不称职地，无能力地
justified,(adj.) 合理的，正当的
threat,(n.) 威胁，恐吓
vengeance,(n.) 报复，复仇
trumpeting,(v.) 大肆宣扬，吹嘘
blame,(v.) 责备，归咎于
reliable,(adj.) 可靠的
significant,(adj.) 重大的，显著的
annual,(adj.) 每年的，一年一度的
poor,(adj.) 差的，落后的
worst,(adj.) 最差的，最恶劣的
basic,(adj.) 基本的
substantial,(adj.) 大量的，可观的
cramped,(adj.) 拥挤的，狭窄的
unreliable,(adj.) 不可靠的
chaos,(n.) 混乱，一团糟
long-running,(adj.) 长期存在的
adequate,(adj.) 足够的，合格的
impose,(v.) 强加
permit,(v.) 允许，批准
endure,(v.) 忍受，忍耐
suffer,(v.) 遭受（痛苦、损失等）
pledge,(v.) 保证，承诺
address,(v.) 处理，解决（问题）
calm down,(v. phr.) 平息，使…镇静
collapse,(n./v.) 崩溃，瓦解
on the grounds that,以…为理由
rather than,而不是
be borne by,由…承担
a strong case that,有充分的理由/论据表明…
form part of,构成…的一部分
a package of measures,一揽子措施
in short order,很快，立即
keep pace with,与…保持同步
"It is all very well..., but...",……固然很好/诚然如此，但是……（用于让步转折）
...there could be nothing more...than...,没有什么比……更……的了。（用于强调最高级）
rail passenger fares,(n. phr.) 铁路客运票价
train operators,(n. phr.) 火车运营商
commuters,(n.) 通勤者
rail travellers,(n. phr.) 铁路旅客
taxpayers,(n.) 纳税人
unions,(n.) 工会
investment,(n.) 投资
strikes,(n.) 罢工
ease the burden,(v. phr.) 减轻负担
kept pace with,(v. phr.) 与…保持同步
offering compensation,(v. phr.) 提供补偿
repair relations,(v. phr.) 修复关系
failed to provide,(v. phr.) 未能提供
suffered huge losses,(v. phr.) 遭受巨大损失
calm down passengers,(v. phr.) 安抚乘客
face a change of,(v. phr.) 面临…的变更
face a reduction of,(v. phr.) 面临…的减少
face the loss of,(v. phr.) 面临…的流失
face the collapse of,(v. phr.) 面临…的崩溃
unreasonable measure,(n. phr.) 不合理的措施
a big surprise,(n. phr.) 一个巨大的意外
adequate service,(n. phr.) 足够水平的服务
to blame for,(phr.) 该为…负责
doesn't work,(phr.) 行不通，没用
bring hope,(v. phr.) 带来希望
The author holds that...,(句型) 作者认为…（考察作者观点）
...is used to stand for...,(句型) ……是用来指代……（考察例证作用）
It is indicated that...,(句型) ……被暗示了（考察推理判断）
"If..., ...may have to face...",(句型) 如果……，……可能将不得不面临……（考察条件与结果）
Which of the following would be the best title...?,(句型) 以下哪项是最好的标题？（考察文章主旨）
owing to,(短语) 由于，因为
