fluid intelligence,流体智力
short-term memory,短期记忆
logically,(adv.) 有逻辑地
abstractly,(adv.) 抽象地
brain function,大脑功能
muscle loss,肌肉流失
body fat,身体脂肪
abdomen,(n.) 腹部
lean muscle,瘦肌肉
immunity,(n.) 免疫力
physical,(adj.) 身体的
mental,(adj.) 精神的
wellbeing,(n.) 健康，安康
aerobic exercise,(n. phr.) 有氧运动
fiber,(n.) 纤维
diet,(n.) 饮食
symptoms,(n.) 症状
prescription,(n.) 处方
peaks,(v.) 达到顶峰
levels out,(v. phr.) 趋于平稳
decline,(n./v.) 下降
aging,(n.) 衰老
accumulation,(n.) 积累，堆积
prevent,(v.) 预防
delay,(v.) 延缓
included,(v.) 包含
compared,(v.) 比较
scored,(v.) 得分
resulted from,(v. phr.) 由…引起
involved,(v.) 涉及，牵涉
explain,(v.) 解释
lead to,(v. phr.) 导致
reduce,(v.) 减少
maintain,(v.) 维持
increasing,(v.) 增加
eliminates,(v.) 消除，排除
utilize,(v.) 利用
alter,(v.) 改变
scientists,(n.) 科学家
study,(n.) 研究
researchers,(n.) 研究人员
data,(n.) 数据
measurements,(n.) 测量值
association,(n.) 关联
differences,(n.) 差异
treatments,(n.) 治疗方法
approaches,(n.) 方法
generally,(adv.) 通常，普遍地
alternatively,(adv.) 二选一地，或者
formally,(adv.) 正式地
accidentally,(adv.) 偶然地
while,(conj.) 虽然，尽管
meanwhile,(adv.) 与此同时
likewise,(adv.) 同样地
therefore,(adv.) 因此
instead,(adv.) 相反地
has to do with,与…有关
in order to,为了
a period of time,一段时间
as we age,随着我们年龄增长
be associated with,与…有关联
compare A to B,将A与B进行比较
as the years went by,随着岁月流逝
be attributable to,可归因于…
result from,由…引起
take steps,采取措施
lean muscle mass,瘦肌肉块
highly recommended,被强烈推荐的
Mediterranean-style diet,地中海式饮食
high in,富含…
"It [verb]..., levels out..., and then starts to...",(描述一个过程随时间的变化)
"But while A is..., B may not be.",(让步转折句型) 但是，虽然A是…，B却可能不是。
This suggests that...,(引出结论或推测) 这表明…
...may be attributable to...,(解释原因) ……可能归因于……
