higher education,高等教育
enrollment,(n.) 入学人数，入学率
university,(n.) 大学
postgraduate study,(n. phr.) 研究生学习/教育
faculty,(n.) （大学的）院，系；全体教职工
academic life,(n. phr.) 学术生活
academic innovation,(n. phr.) 学术创新
scholars,(n.) 学者
institution,(n.) （大学、学院等）机构
societies,(n.) 社会
social classes,(n. phr.) 社会阶层
demand,(n.) 需求
expansion,(n.) 扩张，扩大
growth rates,(n. phr.) 增长率
governance,(n.) 治理，管理
administration,(n.) 行政，管理
stability,(n.) 稳定
empowerment,(n.) 授权
came out of,(v. phr.) 从…中走出来，经历…之后
extended to,(v. phr.) 扩展到，延伸到
attending,(v.) 上（大学）
doubled,(v.) 翻了一番
define,(v.) 界定，确立
increased,(v.) 增加
weakened,(v.) 削弱
admitted into,(v. phr.) 被接纳进入
watershed,(adj.) 分水岭式的，转折点的
modern,(adj.) 现代的
constant,(adj.) 稳定的，不变的
roughly,(adv.) 大致地，粗略地
relevant,(adj.) 相关的
rapid,(adj.) 迅速的
unevenly,(adv.) 不均衡地
peculiar,(adj.) 特有的，独特的
predominantly,(adv.) 主要地，绝大多数地
fresh from,(adj. phr.) 刚从…出来/刚完成…
junior,(adj.) 资历较浅的
age groups,年龄段
entry to,进入…的（机会/权利）
in its wake,(phr.) 紧随其后，作为其结果
place strains on,(phr.) 对…造成压力
above all,(phr.) 首先，最重要的是
a community of scholars,(phr.) 学者群体，学术共同体
to some degree,(phr.) 在某种程度上
...had been... during the decades before...,（过去完成时）在……之前的几十年里曾是……
...the demand that... extended to...,……的需求扩展到了……
...the forms and processes by which...,……的那些形式和程序（定语从句）
"when..., they...",(时间状语从句) 当……的时候，他们……
