Main Idea,n.phr.主旨大意
Central Idea,n.phr.主旨大意
Detail,n.细节信息
Specific Information,n.phr.细节信息
Inference,n.推断题 根据文意推断
Author's Purpose,n.phr.作者目的
to inform,v.告知
to persuade,v.说服
to entertain,v.娱乐
Author's Tone,n.phr.作者语气
objective,adj.客观的
critical,adj.批判的
supportive,adj.支持的
Vocabulary in Context,n.phr.上下文词义
Text Structure,n.phr.文本结构
Organization,n.文本结构
chronological,adj.按时间顺序
cause and effect,n.phr.因果关系
compare and contrast,phr.比较与对比
Figurative Language,n.phr.修辞语言
metaphor,n.隐喻
simile,n.明喻
personification,n.拟人
Fact vs. Opinion,n.phr.事实与观点
Identify,v.识别 / 找出
Explain,v.解释
Describe,v.描述
Define,v.定义
Illustrate,v.举例说明 / 证明
Demonstrate,v.举例说明 / 证明
Support,v.用证据支持 / 证明…是正当的
Justify,v.用证据支持 / 证明…是正当的
Analyze,v.分析
Evaluate,v.评估 / 评价
Synthesize,v.综合 / 整合
Cite,v.引用 原文
Compare,v.比较 相同点
Contrast,v.对比 不同点
Determine,v.确定
Evidence,n.证据
Claim,n.主张 / 论点
Argument,n.主张 / 论点
Assumption,n.假设
Implication,n.暗示 / 意味着
Imply,v.暗示 / 意味着
Perspective,n.视角 / 观点
Point of View,n.phr.视角 / 观点
Bias,n.偏见
Context,n.上下文 / 背景
Significance,n.重要性 / 意义
Importance,n.重要性 / 意义
Relationship,n.事物间的关系
Function,n.功能 / 作用
Role,n.功能 / 作用
Thesis Statement,n.phr.回答的中心论点
Topic Sentence,n.phr.主题句
Supporting Detail,n.phr.支撑细节
Example,n.例子 / 实例
Instance,n.例子 / 实例
Quotation,n.引文 / 引用
Quote,n./v.引文 / 引用
Explanation,n.解释说明
Transition,n.过渡词
however,adv.然而
therefore,adv.因此
in addition,phr.此外
To conclude,phr.总而言之
In summary,phr.总而言之
Restate,v.重申
